time,flux,residual,model
131.51201881232555,1.1633690649722184,0.07222262558739057,1.0911464393848278
131.53245350126963,1.120836062995643,0.10058062514994637,1.0202554378456967
131.55288809033664,1.0819330664167082,0.11780556503790551,0.9641275013788027
131.5733225792792,1.0515468712359324,0.12394368381948229,0.9276031874164501
131.59375716822979,1.0166528261808714,0.10504170231866516,0.9116111238622062
131.61419185706472,0.9890810252279808,0.0758458658651221,0.9132351593628587
131.63462634589814,0.965440302601565,0.03899551285860536,0.9264447897429596
131.65506093472504,0.9465537011965894,0.0031949786834015725,0.9433587225131879
131.67549562355998,0.9273152367756907,-0.028500064090080546,0.9558153008657713
131.69593021227047,0.9076523974670877,-0.04932348834557587,0.9569758858126636
131.71636470098747,0.8871298750486355,-0.055551260504492106,0.9426811355531276
131.73679928970523,0.8700790504583399,-0.04224209646548405,0.9123211469238239
131.75723397841648,0.8623438524930609,-0.006723578411512499,0.8690674309045734
131.77766846701707,0.8607154520964162,0.04129353515820855,0.8194219169382077
131.7981030556184,0.8500429891560811,0.07789130108728848,0.7721516880687926
131.81853774421324,0.82929894762699,0.0925037940519674,0.7367951535750226
131.83897223269742,0.800288045266406,0.07830250509491277,0.7219855401714932
131.85940682118235,0.7710668128111272,0.03718728735933208,0.7338795254517951
131.87984140966,0.7486072810684963,-0.02635641391896293,0.7749636949874592
131.90027599802852,0.7478801460806401,-0.09556264316133811,0.8434427892419782
131.92071058639704,0.8156757795108056,-0.11764795098301262,0.9333237304938182
131.94114517475828,1.045116738414559,0.009927033144010222,1.0351897052705488
131.9615797631268,1.2339688155388429,0.09642488014211548,1.1375439353967274
131.9820143513789,1.4445990859615858,0.21609222990973453,1.2285068560518513
132.00244893962372,1.4835823518754216,0.1859916613482775,1.2975906905271442
132.02288342787506,1.4226586533932015,0.08539697086664644,1.337261682526555
132.0433181160115,1.3535816888253103,0.009545668584672207,1.344036020240638
132.06375270413992,1.2913003797246878,-0.02762934192105959,1.3189297216457474
